int arit int int simple-aritmethic
int arit float float simple-aritmethic
float arit int float simple-aritmethic
float arit float float simple-aritmethic
float arit double double simple-aritmethic
double arit float double simple-aritmethic
double arit double double simple-aritmethic
double arit int double simple-aritmethic
int arit double double simple-aritmethic
int arit int int simple-aritmethic
int arit float float simple-aritmethic
float arit int float simple-aritmethic
float arit float float simple-aritmethic
float arit double double simple-aritmethic
double arit float double simple-aritmethic
double arit double double simple-aritmethic
double arit int double simple-aritmethic
int arit double double simple-aritmethic
int arit int int simple-aritmethic
int arit float float simple-aritmethic
float arit int float simple-aritmethic
float arit float float simple-aritmethic
float arit double double simple-aritmethic
double arit float double simple-aritmethic
double arit double double simple-aritmethic
double arit int double simple-aritmethic
int arit double double simple-aritmethic
int arit int int simple-aritmethic
int arit float float simple-aritmethic
float arit int float simple-aritmethic
float arit float float simple-aritmethic
float arit double double simple-aritmethic
double arit float double simple-aritmethic
double arit double double simple-aritmethic
double arit int double simple-aritmethic
int arit double double simple-aritmethic
string + string string string-concat
int = int int null
int = float int null
int = double int null
int = char int null
int = bool int null
float = int float null
float = float float null
float = double float null
float = char float null
float = bool float null
double = float double null
double = double double null
double = int double null
double = char double null
double = bool double null
char = int char null
char = float char null
char = double char null
char = char char null
char = bool char null
bool = bool bool null
string = string string null
int rel int int simple-relational
int rel float float simple-relational
int rel double double simple-relational
int rel char int simple-relational
int rel bool int simple-relational
float rel int float simple-relational
float rel float float simple-relational
float rel double double simple-relational
float rel char float simple-relational
float rel bool float simple-relational
double rel float double simple-relational
double rel double double simple-relational
double rel int double simple-relational
double rel char double simple-relational
double rel bool double simple-relational
char rel int int simple-relational
char rel float float simple-relational
char rel double double simple-relational
char rel char char simple-relational
char rel bool char simple-relational
bool rel int int simple-relational
bool rel float float simple-relational
bool rel double double simple-relational
bool rel char char simple-relational
bool rel bool bool simple-relational
bool && bool bool simple-logic
bool || bool bool simple-logic
int cast int int null
int cast float int null
int cast double int null
int cast char int null
int cast bool int null
float cast int float null
float cast float float null
float cast double float null
float cast char float null
float cast bool float null
double cast float double null
double cast int double null
double cast char double null
double cast bool double null
double cast double double null
char cast int char null
char cast float char null
char cast double char null
char cast char char null
char cast bool char null
bool cast int int null
bool cast float int null
bool cast double int null
bool cast char int null
bool cast bool int null
bool cast float int null
